Number of batches:  53220
[train] epoch=0 step=50 loss=2.6628 lr=5.00e-05
[train] epoch=0 step=100 loss=2.4847 lr=9.91e-05
[train] epoch=0 step=150 loss=2.5457 lr=1.48e-04
[train] epoch=0 step=200 loss=2.4772 lr=1.97e-04
[train] epoch=0 step=250 loss=2.3358 lr=2.46e-04
[train] epoch=0 step=300 loss=2.1921 lr=2.95e-04
[train] epoch=0 step=350 loss=2.2984 lr=3.44e-04
[train] epoch=0 step=400 loss=2.2647 lr=3.93e-04
[train] epoch=0 step=450 loss=2.2955 lr=4.42e-04
[train] epoch=0 step=500 loss=2.1362 lr=4.91e-04
[train] epoch=0 step=550 loss=2.2664 lr=5.40e-04
[train] epoch=0 step=600 loss=2.2200 lr=5.89e-04
[train] epoch=0 step=650 loss=2.2071 lr=6.39e-04
[train] epoch=0 step=700 loss=2.3381 lr=6.88e-04
[train] epoch=0 step=750 loss=2.1568 lr=7.37e-04
[train] epoch=0 step=800 loss=2.2336 lr=7.86e-04
[train] epoch=0 step=850 loss=2.3058 lr=8.35e-04
[train] epoch=0 step=900 loss=2.1885 lr=8.84e-04
[train] epoch=0 step=950 loss=2.1967 lr=9.33e-04
[train] epoch=0 step=1000 loss=2.1409 lr=9.81e-04
[train] epoch=0 step=1050 loss=2.3061 lr=9.81e-04
[train] epoch=0 step=1100 loss=2.2310 lr=9.81e-04
[train] epoch=0 step=1150 loss=2.2763 lr=9.81e-04
[train] epoch=0 step=1200 loss=2.0669 lr=9.81e-04
[train] epoch=0 step=1250 loss=2.1911 lr=9.81e-04
[train] epoch=0 step=1300 loss=2.1620 lr=9.81e-04
[train] epoch=0 step=1350 loss=2.1210 lr=9.81e-04
[train] epoch=0 step=1400 loss=2.2229 lr=9.81e-04
[train] epoch=0 step=1450 loss=2.0998 lr=9.81e-04
[train] epoch=0 step=1500 loss=2.1418 lr=9.81e-04
[train] epoch=0 step=1550 loss=2.2573 lr=9.81e-04
[train] epoch=0 step=1600 loss=2.1473 lr=9.81e-04
[train] epoch=0 step=1650 loss=2.1849 lr=9.81e-04
[train] epoch=0 step=1700 loss=2.2062 lr=9.81e-04
[train] epoch=0 step=1750 loss=2.1606 lr=9.81e-04
[train] epoch=0 step=1800 loss=2.2424 lr=9.81e-04
[train] epoch=0 step=1850 loss=2.2205 lr=9.81e-04
[train] epoch=0 step=1900 loss=2.2936 lr=9.81e-04
[train] epoch=0 step=1950 loss=2.1659 lr=9.81e-04
[train] epoch=0 step=2000 loss=2.1351 lr=9.81e-04
[train] epoch=0 step=2050 loss=2.1831 lr=9.81e-04
[train] epoch=0 step=2100 loss=2.2590 lr=9.81e-04
[train] epoch=0 step=2150 loss=2.1714 lr=9.81e-04
[train] epoch=0 step=2200 loss=2.2517 lr=9.81e-04
[train] epoch=0 step=2250 loss=2.1704 lr=9.81e-04
[train] epoch=0 step=2300 loss=2.2179 lr=9.81e-04
[train] epoch=0 step=2350 loss=2.0809 lr=9.81e-04
[train] epoch=0 step=2400 loss=2.2252 lr=9.81e-04
[train] epoch=0 step=2450 loss=2.2073 lr=9.81e-04
[train] epoch=0 step=2500 loss=2.1374 lr=9.81e-04
[train] epoch=0 step=2550 loss=2.1297 lr=9.81e-04
[train] epoch=0 step=2600 loss=2.1707 lr=9.81e-04
[train] epoch=0 step=2650 loss=2.3129 lr=9.81e-04
[train] epoch=0 step=2700 loss=2.1493 lr=9.81e-04
[train] epoch=0 step=2750 loss=2.2769 lr=9.81e-04
[train] epoch=0 step=2800 loss=2.1981 lr=9.81e-04
[train] epoch=0 step=2850 loss=2.2213 lr=9.81e-04
[train] epoch=0 step=2900 loss=2.1718 lr=9.81e-04
[train] epoch=0 step=2950 loss=2.1435 lr=9.81e-04
[train] epoch=0 step=3000 loss=2.2363 lr=9.81e-04
[train] epoch=0 step=3050 loss=2.0658 lr=9.81e-04
[train] epoch=0 step=3100 loss=2.1900 lr=9.81e-04
[train] epoch=0 step=3150 loss=2.1244 lr=9.81e-04
[train] epoch=0 step=3200 loss=2.3847 lr=9.81e-04
[train] epoch=0 step=3250 loss=2.1723 lr=9.81e-04
[train] epoch=0 step=3300 loss=2.1627 lr=9.81e-04
[train] epoch=0 step=3350 loss=2.2568 lr=9.81e-04
[train] epoch=0 step=3400 loss=2.1648 lr=9.81e-04
[train] epoch=0 step=3450 loss=1.9884 lr=9.81e-04
[train] epoch=0 step=3500 loss=2.2154 lr=9.81e-04
[train] epoch=0 step=3550 loss=2.1741 lr=9.81e-04
[train] epoch=0 step=3600 loss=2.1987 lr=9.81e-04
[train] epoch=0 step=3650 loss=2.1277 lr=9.81e-04
[train] epoch=0 step=3700 loss=2.0978 lr=9.81e-04
[train] epoch=0 step=3750 loss=2.1672 lr=9.81e-04
[train] epoch=0 step=3800 loss=2.2049 lr=9.81e-04
[train] epoch=0 step=3850 loss=2.2071 lr=9.81e-04
[train] epoch=0 step=3900 loss=2.2081 lr=9.81e-04
[train] epoch=0 step=3950 loss=2.1229 lr=9.81e-04
[train] epoch=0 step=4000 loss=2.1280 lr=9.81e-04
[train] epoch=0 step=4050 loss=2.1924 lr=9.81e-04
[train] epoch=0 step=4100 loss=2.2137 lr=9.81e-04
[train] epoch=0 step=4150 loss=2.1911 lr=9.81e-04
[train] epoch=0 step=4200 loss=2.2267 lr=9.80e-04
[train] epoch=0 step=4250 loss=2.2668 lr=9.80e-04
[train] epoch=0 step=4300 loss=2.2069 lr=9.80e-04
[train] epoch=0 step=4350 loss=2.1333 lr=9.80e-04
[train] epoch=0 step=4400 loss=2.1802 lr=9.80e-04
[train] epoch=0 step=4450 loss=2.1572 lr=9.80e-04
[train] epoch=0 step=4500 loss=2.2804 lr=9.80e-04
[train] epoch=0 step=4550 loss=2.2167 lr=9.80e-04
[train] epoch=0 step=4600 loss=2.1620 lr=9.80e-04
[train] epoch=0 step=4650 loss=2.3023 lr=9.80e-04
